z_m,potential_v,electric_field_v_m,charge_c_m3
  6.9700368231E+00, -2.3392464858E+00, -2.0922036881E-01,  1.5006804006E-13
  7.0001546549E+00, -2.3329529047E+00, -2.0871034047E-01,  1.4981313843E-13
  7.0303054848E+00, -2.3266678013E+00, -2.0820062276E-01,  1.4955740010E-13
  7.0604894294E+00, -2.3203911754E+00, -2.0769121845E-01,  1.4930083562E-13
  7.0907066056E+00, -2.3141230272E+00, -2.0718213029E-01,  1.4904345546E-13
  7.1209571305E+00, -2.3078633566E+00, -2.0667336100E-01,  1.4878526995E-13
  7.1512411215E+00, -2.3016121637E+00, -2.0616491330E-01,  1.4852628934E-13
  7.1815586965E+00, -2.2953694484E+00, -2.0565678987E-01,  1.4826652377E-13
  7.2119099735E+00, -2.2891352107E+00, -2.0514899337E-01,  1.4800598326E-13
  7.2422950709E+00, -2.2829094506E+00, -2.0464152645E-01,  1.4774467776E-13
  7.2727141076E+00, -2.2766921682E+00, -2.0413439174E-01,  1.4748261708E-13
  7.3031672026E+00, -2.2704833634E+00, -2.0362759184E-01,  1.4721981097E-13
  7.3336544752E+00, -2.2642830362E+00, -2.0312112933E-01,  1.4695626907E-13
  7.3641760453E+00, -2.2580911867E+00, -2.0261500678E-01,  1.4669200091E-13
  7.3947320330E+00, -2.2519078148E+00, -2.0210922675E-01,  1.4642701594E-13
  7.4253225587E+00, -2.2457329205E+00, -2.0160379174E-01,  1.4616132352E-13
  7.4559477431E+00, -2.2395665039E+00, -2.0109870428E-01,  1.4589493291E-13
  7.4866077075E+00, -2.2334085649E+00, -2.0059396686E-01,  1.4562785327E-13
  7.5173025732E+00, -2.2272591035E+00, -2.0008958194E-01,  1.4536009370E-13
  7.5480324623E+00, -2.2211181197E+00, -1.9958555198E-01,  1.4509166319E-13
  7.5787974967E+00, -2.2149856136E+00, -1.9908187941E-01,  1.4482257064E-13
  7.6095977992E+00, -2.2088615851E+00, -1.9857856667E-01,  1.4455282488E-13
  7.6404334926E+00, -2.2027460343E+00, -1.9807561613E-01,  1.4428243465E-13
  7.6713047004E+00, -2.1966389611E+00, -1.9757303020E-01,  1.4401140860E-13
  7.7022115461E+00, -2.1905403655E+00, -1.9707081123E-01,  1.4373975530E-13
  7.7331541538E+00, -2.1844502475E+00, -1.9656896157E-01,  1.4346748325E-13
  7.7641326480E+00, -2.1783686072E+00, -1.9606748356E-01,  1.4319460087E-13
  7.7951471534E+00, -2.1722954445E+00, -1.9556637952E-01,  1.4292111648E-13
  7.8261977954E+00, -2.1662307594E+00, -1.9506565173E-01,  1.4264703834E-13
  7.8572846996E+00, -2.1601745519E+00, -1.9456530249E-01,  1.4237237463E-13
  7.8884079918E+00, -2.1541268221E+00, -1.9406533407E-01,  1.4209713345E-13
  7.9195677986E+00, -2.1480875699E+00, -1.9356574871E-01,  1.4182132284E-13
  7.9507642467E+00, -2.1420567954E+00, -1.9306654864E-01,  1.4154495075E-13
  7.9819974633E+00, -2.1360344985E+00, -1.9256773610E-01,  1.4126802506E-13
  8.0132675761E+00, -2.1300206792E+00, -1.9206931329E-01,  1.4099055358E-13
  8.0445747131E+00, -2.1240153375E+00, -1.9157128238E-01,  1.4071254406E-13
  8.0759190027E+00, -2.1180184735E+00, -1.9107364557E-01,  1.4043400417E-13
  8.1073005738E+00, -2.1120300871E+00, -1.9057640501E-01,  1.4015494151E-13
  8.1387195557E+00, -2.1060501783E+00, -1.9007956284E-01,  1.3987536361E-13
  8.1701760781E+00, -2.1000787472E+00, -1.8958312119E-01,  1.3959527794E-13
  8.2016702712E+00, -2.0941157937E+00, -1.8908708219E-01,  1.3931469190E-13
  8.2332022655E+00, -2.0881613178E+00, -1.8859144792E-01,  1.3903361282E-13
  8.2647721920E+00, -2.0822153196E+00, -1.8809622049E-01,  1.3875204799E-13
  8.2963801822E+00, -2.0762777990E+00, -1.8760140196E-01,  1.3847000459E-13
  8.3280263680E+00, -2.0703487560E+00, -1.8710699440E-01,  1.3818748979E-13
  8.3597108817E+00, -2.0644281906E+00, -1.8661299984E-01,  1.3790451066E-13
  8.3914338562E+00, -2.0585161029E+00, -1.8611942033E-01,  1.3762107422E-13
